essay_id,full_text,score,predicted_score,score_structure,score_grammar,score_development
a0a15e3,"Would you feel comfortable standing in front of a computer and letting it try to figure out how you feel?And how would a computer that can read someones emotions help them in the classroom?Although technology has been great in the past few years,can we do better in our classrooms.I say yes with this valuable technology that can read students emotions.

So how would this work? The computer would first construct a 3-D model of the face,with all 44 major facial muscles.Then the model must move like human muscles,this movement of one or more muscles is called an ""action unit.""Afterward you use the six classified basic ""emotions-happiness,surprise,anger,disgust,fear, and sadness.""These are associated with each characteristic movements of facial muscles.For example,your frontalis pars lateralis muscle raises your eyebrows when you're surprised.

Why would this technology be valuable?Because will be able to see emotions that other people may not.Like for instance,your in a math class and the teacher is teaching the class on algebra.Your doing well until he starts to ramble about how he loves algebra and you lose focus.Then that is when the computer could recognize that your are confused and remind you what you were doing.The same can be said with any class not just math.Say your are at home and don't understand the history homework.Then computer sees this and sends you to website that can help you understand the subject.

The last reason why the FACS is valuable is to recognize emotions that people can't.Because most human communication is nonverbal we may not be able to know exactly how someone feels.But with FACS we are able to detect exactly how someone feels,even when they are trying to hide their emotions. For instance,an ordinary human being they are not able to see the muscular action units,these determine a genuine smile from a fake one,so they will not be able to tell how you truly feel.They will only see what you show them on your face.But FACS is able to use facial software to convey how you feel based on your facial muscular movement.

Now that all of that was said.Do you now see how it is valuable to students and schools?And not even schools but to people in the workforce.This can improve the way we communicate with each other.Beacause we will know how they really feel and then we will start to care more about each other's feelings.This is why I belive this technology is valuable to read students' emotionsl expressions.",4,3.0,3.0,3.0,2.0
e88da5f,"Electoral college

PROPER_NAME

The electoral college should be changed it is confusing to some and straight up a waste of time to everybody else.  In soure two part ""

What's wrong with the electoral college

"" paragragh ten it says something that I think will help my claim a lot.  ""Under the electoral college system, voters vote not for the president, but for a slate of electors, who in turn elect the president.""  Now if this statment is true then how would you know what or who these people stand up for or even who picks out the electors in the first place?

This qoute might be the think that I agree with the most.  At the same source as last time but this time in one paragragh down.  It says ""the single best argument agianst the electoral college is what we might call the disaster factor.  The american people should consider themselves lucky that the 2000 fiasco was the biggest election crisis in a century; the system allows for much worse.""  Now just remeber when I said who elects those people anyway, well I did some reading and it said that the state legislature are technically responsible for picking electors, but the electors can always defy the will of the people.

Now all of the evidence should make you want to get away with the electoral college, but if ot then this last paragragh should it will tell you everthing that i already have but in a diffrent point of view. In paragragh thirteenteen of the

""What's wrong with the electoral college""

source it agrees with every thing that I have typed.  It says that At most basic level, the electoral college is unfair to voters.Because of the winner-take-all system in each state, candidates don't spend time in states they know they have no chance in winning, foucsing only on the tight races in the

""swing""

states.""  Now if  am rght then every one who reads this exet mabye the electoral college will agree that it is unfair, outdated, and irrational.                ",3,3.0,2.0,3.0,3.0
0b8ed23,"In today's world our environment is not as healthy as it was year's ago. There are many green house gases disturbing our atmosphere and our ozone layer. One of the main reasons this is happening is due to motor vehicals. Car's, trucks', motorbike's, gasoline powred or diesal powerd, they all hurt our environment. There are some place's that are trying to stop the gases from hurting us and it is helping.

Owning a car is an important way of transportation. It allows us to get from point A to point B in time's that would be much slower if we did not have a car. Yet car's and truck's can sometimes be hurtful. Owning a car can be cost effective, you must pay for the fuel that is hurting the atmosphere, if it breaks down you must pay for expensive parts and service. Even if you have the money and the time to own a car, you are realy still hurting the environment by burning fosil fuels and causing green house gases.

In some place's in the wrold they are reducing car usage. They are having national days where if you use your motor vehical you are to be charged by ticket for some money. In paris there was a week of regulated driving to reduce smog emision. On several day's of the week car's with even numbers on their tag were not able to drive. The next day the odd number did the same, if caught using a motor vehical you would be fined 22£ ($31). People were outraged and some were so angered they didn't like he law and got thier vehical impounded. That is how Paris did their part in helping the atmosphere.

In Bogota, Colombia they had a similar ocasion, but only for one day of the year. They have done the same thing on that specific day for the past 3 years, they too have been charged with tickets for $25 if found using a motor vehical. They also had this day in two other citys in Colombia, Cali, and Valledupar joined in on the fun of helping the environment.

In the U.S President Barack Obama has had goal's to also reduce emision's of motor vehicals. The United State's being one of the main counrty's in car production see's owning a car a culture, they see driving, working on your own car, and racing as a way of life. But some american's have had enough of trafic jam's, stressed out lives in a jam packed city full of car's and truck's causing green house gases. They have reduced the miles driven since 2013, and a good amount of people don't even want to have a license. In crowded city like New York they have started a new bike sharing program, their tolls for bridges and tunnels have skyrocketed. A study last year found that driving by young people decreased 23 percent between 2001 and 2009. This means people are getting more involved in helping the environment and reducing hurtful gases that hurt our ozone and our atmosphere.    ",3,3.0,3.0,3.0,3.0
75e3824,"While the idea of driverless cars appeals to many, is it really practical for modern day America? Sergey Brin has proposed and imagined this utopian idea. The creation of these seeming easy cars would actually make everyones life harder, not only on the roads, but in the court rooms as well. These cars would obviously be extremly costly to make, and would put stress on all tax payers if roads were to be remodeled. The idea of driverless cars is impractical and shouldn't be taken seriously.

There is a quote that states, ""Be careful what you wish for becuase you just might get it."" What this quote boils down to is that as much as one might want something that aesthetically pleases them, it may turn around to be a truly awful mistake. Driverless cars cause more trouble then they are worth. A prime example would be, if a driverless car were to be made, having to switch the roads and the designs of them. Tax payers already pay for the seemingly never ending road repair, let along new roads for cars that arent even a necessity. Many engineers at Berkeley attempted to use magnets in driverless cars that could read in binary code. They discovered there needed to be grotesque and expensive changes to pre existing roads, making the whole ordeal impractical. After realizing that roads were too hard to deal with, money wise, Google tried to make cars that were smarter. With all of the upgrades required to make a smarter car, the cost of the driverless car wouldn't be fathomable. How are people supposed to drive cars when they cost too much to own and take care of?

Another huge problem with the new cars is whither a human in the ""driver seat"" would be assisting or driving. If a car could go forward on its own, but can't drive under certain conditions, how is it really a driverless car? If a person in the car were to fall asleep while being drove by the car, then there were to be an accident that the car couldn't handle, how would the car alert the person it was time to drive. There is a big reason as to why people dont hop out of bed and into a car. The brain needs time to adjust and wake up before attempting a process that can quite legitimately kill people. A single car accident can kill many people. Pretending that driverless cars are a toy isn't an option. People with health problems wouldn't find a driverless cars helpful either. Awareness of people who cant feel vibrations, cannot hear, and cannot see, would all be in danger riding in this type of car. Without being in control of the wheel and acceleration at all times reduces the feeling of needing to be alert in the car, causing more careless accidents that could have been avoided if the car had an alert and ready driver.

If one of these careless accidents were to happen, who would be to blame? With the idea of driverless cars, sprialing and time consuming court cases come along. When accidents happen, usually the two drivers are taken to court, with the exception of car recall cases. When two driverless get in an accident it leaves the question as to why two, in fact driverless cars, would hit each other. This also brings up the question as to if they are even driverless cars. A driverless car would technically have to be driverless and not need a human assistant to run properly. Thus saying, more car companys are more likely to get sued in the court of law for murder, vehicular manslaughter, and many other charges most car companies don't get hit with using regular cars.

Another pretty famous quote states, ""If it's not broke, don't fix it."" Today's cars are fully functional and drive almost perfectly on the roads we have now. To switch the great thing that is going on now would be useless. In this economy, America does not have money to throw around. To mass produce driverless cars is and forever will be unconventionally excessive. In order to save time, to save money, and save citizens from dreaded jury duties, driverless cars should remain in the movies.",5,,,,
6beaab6,"I think having a ""driverless cars"" will be a good idea. Thats because I see more good in the things it can do than bad. Here i will list out a couple of why there should driverless cars.

The first reason I see why its good because the manufacturers has test the driverless cars. The result of it was that the car drove more than half a million miles with out crashing. Which is said in pharagraph two. This clearly means it is capable of being a driverless car becasue it could travel so far with out an accident.

Next the driverless cars also has a bunch of features that will help it to mimic the skill of a human at the wheel. The car features that the car will or more likely have is sensors on the left rear wheel, a rotating sensor on the roof, a video camera mounted near the rearview mirror, four automotive radar sensors, a GPS reciever, and lastly a inertial motion sensor. Becasue of all of those the statement that says it can mimic a human at the wheel could be or is true. This information was found in pharagraph four.

Lastly the senors can cause the car to apply the brakes and reduce power from the engine which allows a better responce and control compared to a human driver. Thats not the only thing the car can control. The car can also steer and accelerate by themselves. The catch the car will notify the driver when the road needs human skills. Meaning it will need a driver to actually take control when it is going through work zones and

around accidents.Due to that program the driver still needs to stay alert, aware the surroundings, focus on the road and is ready to take over at any moment when a situation appears. To notify the driver the seats of the car will vibrate when it about to back up into an object. To announce the driver when to take over the driverless car will have flashing lights on the windshield or have a heads up display.

Those are the reasons why i believe driverless cars is a good thing. Due to all the alarm systems telling the driver when to take over this might prevent texting a driving. Also that is a step forward to becoming more advanced. So as time goes on automakers or known as the manufacturers will continue to fix problems that the car might have making it better and safer. Sooner or later it will be a perfect highly advance car in the future. The first step is always the hardest because no one knows what it will do.",4,3.0,3.0,2.0,3.0
01d6e7e,"The 'Face' on Mars is just a hoax. It seems as though the mound on this planet is just a mesa. If you don't believe me, then listen to me very closely. The very similar face on the side of Mars can be very defining but not a single astronout have researched at the Mesa up close and personal. But even if it was made by aliens, it still wouldn't tally up right?

The 'Face' was first noticed in 1976 by Viking 1 spacecraft, circling around Mars, after trying to find its sistership, Viking 2. As Viking 1 was circling around, it spotted a likeness to the human face. And the mound was found in Cydonia, a very well-know area on the Red Planet to house mesas. As the years went by, they looked more into the mound and Scientists concluded that it was just another mesa, but this moutain-like hill had shadows that resemble the human face.

As you review this very peculiar picture, you can see that it just resembles Earth, mostly in Western America. That certain part of America are very popular for its mesas and buttles (which are the same as mesas). There may be more out in the solar system, mnaybe even more in the whole universe itself, but in the end of all the discoveries, they all end up being coincidences. Maybe one day, we'll find extre terrestrial life, but for now, we will just make more and more discoveries until we don't have anything else to find.",3,3.0,2.0,3.0,3.0
0abf87b,"Self driving cars are becoming more and more popular as techology advances making it feel like one day in the future we're gonna just ditch the cars all together and we're all going to be hovering around on hover boreds and there wont be a reason for people to learn to drive. Realizing this makes people wonder if there will one day not be a purpose for a drivers license because techniacally they won't be driving. But with everyone just wanting to be in with the new things in the world no one ever thinks about some of the dangers self driving cars could cause.

One danger people should be extremly aware of is the independance on the vehicle. When people hear the phrase Self Driving Cars they think about something completely different and more advanced than what driverless cars actually are. They instantly assume that they have a free ride to where they want to go and can be oblvious of there surroundings when thats not the case at all. What if there is a malfuction and they have to be ready to take the wheel to keep from drving into a ditch and they arn't. As stated in the article it says ""..the human driver must remain alert and be ready to take over when the situation comes."" this means that even though people are not driving doesn't mean they can sit on their phone text and expect there not to be any problems because they can't be so dependant on a machine.

Another problem there is with getting the driverless car on the road is the laws that need to be passed to allow them. only three state have allowed them to begin driving on the roads which are ""California,Nevada and Florida"" but even those states keep them on minimum useage for acident prevention. As stated in the article ""..even if traffic law change, new laws will be needed in order to cover liability in the case of an accident."" which means that there would be conflicts between owners and manufacturers to see who would be responsible if there were accidents caused by malfuctions.

Now there is a diiference between self driving and autopilot. with autopilot people still understand this as you have to be cautious if though they arn't driving they still have to steer. As stated ""Tesla has projected a 2016 reaease for a capable of drivihng atuopilot 90 percent of the time"" this says that even though it's not self drving you can still drive with little to no driving at all.

Even though it would be cool to have a self drivng car people still need to put safety of themselves and others before buying a driverless car.",4,3.0,3.0,3.0,3.0
9817fb6,"Imagine a world with a great transportation system that doesn't involve humans controlling the vehicles, yes, driverless cars. Sound futuristic? Yeah, but I think it could be better for us. The cars would have amazing technolgy, keeping us safer from human errors, because, let's face it, humans aren't perfect. We could take better care of our planet. And, no one would need to pay for another car, again.

The first reason we should have driverless cars, is because it is better for the planet. Google cofounder believes we could use driverless cars that would use half the fuel we use today. This would save fuel for future generations to come. Since we wouldn't be using as much fuel, there wouldn't be any concern of global warming. Think about your kids, your kids' kids, and so on. Do you want your grandkids to be suffering without any power source, or not even having a stable planet? No one wants that. Not only would driverless cars save our planet, they can help save lives.

Another reason we should have driverless cars, is because they can help save many human lives. These driverless cars would be computers, they can communicate to other driverless cars. And also, computers are perfect, they don't make mistakes. Humans, on the other hand, are not perfect. We make mistakes, it happens. So when a computer is driving a car, it would not make the mistakes humans do, therefore, saving hundreds of thousands of lives each year. These driverless cars would help save some money, as well.

The third reason we should have driverless cars, is because they would save a lot of money. No one would have to go out and fork out thousand of dollars on some new car. They could just use these driverless cars to transport them. Also, no one would have to pay for wrecks or insurance money, because these driverless cars wouldn't make mistakes to get them into car wrecks. We are looking at possibly of millions of dollars saved in just a year.

I think that having driverless cars would be a plus for society. They would save our planet, they are a lot safer, and they would save a lot of money. I don't know how soon this could be a",4,3.0,3.0,3.0,2.0
af5819f,"How do I know the author supports this idea? I know the author is supporting this idea because he is giving examlpes on how studying venus can be very dangerous, but he also explains to you on why people take that risk to keep studying venus. The author also gives out facts about Venus to give you a better understanding on why some people still study Venus. Some facts he gives out are

""Venus is the second planet from our sun. While is simple to see from the distant but safe vantage point of Earth, it has proved very challenging place to exaimine more closely.""

With this statement this gives us a better understanding on how dangerous it can be to study this planet. This statment also gives us a prespective on why people want to study this planet as well. The author then explains how NASA has one possible idea for sending humans to study Venus. The author continues to give facts about how challenging this study could be. He states

""NASA's possible solution to the hostile conditions on the surface of Venus would allow scientists to float above the fray.""

This does sound very exciting and interesting. Even to think about studying or sending life to this planet to study is very dangerous but is very intreaging. Do I personally think it would be a good idea? I most definalty do not. I would not agree to go to a new planet that we know nothing about due to not having certian amount of resources needed. Yes, we do have some knowledge, but we do not have enough knowledge to make me comfortable engough to even think about going. But for others that risk is something they would take.

The author does make great, peruassive statements in Parargaph Eight like, ""Striving to meet the challenge presented by Venus has value, not only because of the insight to be gained on the planet itself, but also because human curiosity will likely lead us into many equallu intimidating endeavors. Our travels on Earth and beyond should not be limited bt dangers and doubts but should be expanded to meet the verty edges of imagination and innovation.""

Studying Venus is a risky and challenging task to take on. If this is sometihg that you find interesting or something you are very curious about maybe this is for you. After reading this article we now know the risks and challenges of studying Venus. The author did a great job explaining risks, giving us back ground information, and explaining why others would want to study Venus. The author most certainly does suppport this idea with the information he gave. ",3,3.0,2.0,3.0,3.0
27427c9,"Creating these driverless cars are amazing, but with technology today, it will need a lot of security systems, the car has many cameras to it but if one bad person who knows a lot about those cars, they will try to hack into it, if they succeced, it could do harm on the streets. People can hack into bank accout with ease, by only a couple of numbers, if the people who create these driverless cars don't understand that, then many cars are going to be hijacked or worse.

Many of these cars can also have a malfunction also, no matter if they say it will, if any of the sensors that are on the car gets hit, then it may malfunction. Would the car need an upgrade just like a computer? My computer take a very long while and multiple tries for it to successivly upgrade and i only had it for a year, would that same thing happen to the cars? It says in the text that the cars would use half of the fuel today, would it be priced right to even sell? Many people have had the same car for many years and never had a accident in it, some people would have the money, some people don't, if the people who create the driverless cars must know a good price where they can make a living and keep making more and the buyers are pleased with the price and how well they are developed. If the cars become semi-automatic, if a person sleeps on the interstate, how long will the car go before i needs a human to take the wheel? Many people get injured or worse by falling asleep behind the wheel and I hope that the driverless car will solve that problem.    ",2,3.0,2.0,3.0,3.0
5e47d03,"My position on driverless cars is, I'm totally against them, why well because they could cause an accident if the computers or sensors on the driverless cars fail or malfunction then that company that manufactured the driverless car will have a lawsuit coming out and if the driverless cars fail a lot then it will cause the company lots of money if anybody was hurt during the accident because of the malfunction of the driverless cars.

I also think that when they have driverless cars then will be also having machines or something that will be all machine operated and no human would do it then we will be to relient on things that don't require anyone to operate it and it might be also a hassle having to constantly maintain the sensors and every part that will make the car driverless and it also be time consuming because what would you do if it won't behave and work properly and you would might have to spend lots of money on the driverless car cause if the parts are foreign made then it will cost more money to ship and buy that part overseas.

And that it is why I'm totally against driverless cars they are dangerous and they can kill if the computers or sensors or whatever fails on the car in a accident and people will be to relient on it.   ",3,2.0,2.0,2.0,2.0
7c4e27f,"""I'm much happier this way,"" What caused someone to say this? Simply no longer owning a car! Based on how car dependant mostly everyone's life is and how badly most people that don't have a car want one you'd think that going from having one to lacking one must be terrible. Well statisically speaking we might all be moving towards this idea and it might not be such a bad thing!

According to the short article

In German Suburb, Life Goes On Without Cars

Vauban, Germany is home to people that have chosen to give life without cars a shot, many of which love the life style. 70% of Vauban's families do not own cars, and 57% sold a car just to go there. Although this has mostly only been done here many have started slowly adopting the idea. As the author, Elisabeth Rosenthal, of this article pointed out passenger cars are responsible for 12% of greenhouse emissions in Europe, and in more car populated areas such as the United States up to 50%. Robert Duffer stated in

Paris bans driving due to smog that in Paris Driving had been limited by their goverment due to extreme levels of pollution and after a short amount of time the ban was called off because the smog/pollution had lowered. Just one of the advantages of limiting the usage of cars would be cutting down these huge numbers and getting rid of these issues, and if you asked anyone im pretty sure they'd say that this one advantage is plenty reason already to look into this. Imagine how drastically improved the planet would be if others adopted what Vauban is already doing!

Want a holiday to promote the limiting of cars? Well there actually is one in Bogota, Colombia! Millions of colombians hike, bike, skate, or take buses to places like work on this day. It already has three years running so far, even if its raining that day, the mayor claims that it doesnt stop people from participating. This day is starting to also branch out to other colombian cities such as Cali and Valledupar, imagine if eventually it becomes an international holiday, the advantages are everywhere. Due to the limiting of car usage there are more people walking on the sidewalks and this has caused the goverment to improve those sidewalks by making new smooth ones and getting rid of the old cracked ones. More restaurants, parks, sports centers, and even entire shopping centers have been built and opened to the people walking which is a life style improving advantage. If the limiting of cars is done in more places then new things to do and try will open up in that area and in turn prove to be a great advantage from limiting car usage.

Elisabeth Rosenthal has writen about the possibility that in the United States the peak of driving has been reached. As it turns out Americans are buying fewer cars, driving less miles on average, and getting fewer licenses every year that goes by. If such a large population such as the United States is cooling down on car usage why not speed that process up and goverments start slowly but efficiently reducing car usage internationally? This would mean that in public transport there would be more socializing because the people that take that same bus everyday at 7:00 AM along with you would become your friends or at least aquaintances. So when you think about it friendships might even come with car limiting as well!

From the reduction of polution to the improvements of everyday life style to even possibly socializing with new people, the possibilities of car usage limiting are endless. Who knew that a simple taking of a bus or riding a bike to work could have such a large impact on the world around you!            ",4,3.0,3.0,3.0,3.0
